"seqnames","start","end","width","strand","peak_id","log2FoldChange","padj","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",6037215,6037961,747,"*","chr1_6037215_6037961",-1.97540805327948,0.00136356847174782,"Promoter (1-2kb)",1,6035917,6041762,5846,1,"8514","ENST00000459822.1",1298,"ENSG00000069424","KCNAB2","potassium voltage-gated channel subfamily A regulatory beta subunit 2"
"chr1",6367300,6368202,903,"*","chr1_6367300_6368202",-1.52396213454625,0.000292936742212318,"Intron (ENST00000608083.5/11332, intron 1 of 8)",1,6264273,6360707,96435,2,"11332","ENST00000377845.7",-6593,"ENSG00000097021","ACOT7","acyl-CoA thioesterase 7"
"chr1",6415183,6416855,1673,"*","chr1_6415183_6416855",-1.41247159177157,0.00264782608369206,"3' UTR",1,6413000,6419903,6904,2,"54626","ENST00000377836.8",3048,"ENSG00000069812","HES2","hes family bHLH transcription factor 2"
"chr1",6586467,6588875,2409,"*","chr1_6586467_6588875",-1.13387741479277,0.00252925336891414,"Promoter (<=1kb)",1,6587256,6589160,1905,1,"3104","ENST00000466813.1",0,"ENSG00000204859","ZBTB48","zinc finger and BTB domain containing 48"
"chr1",6753265,6754102,838,"*","chr1_6753265_6754102",-1.13957314709085,0.00826674209242124,"Distal Intergenic",1,6724673,6729993,5321,1,"100505887","ENST00000654537.1",28592,NA,"LINC01672","long intergenic non-protein coding RNA 1672"
"chr1",6801629,6802562,934,"*","chr1_6801629_6802562",-1.0724459433592,0.00333768566341079,"Intron (ENST00000490738.5/23261, intron 1 of 2)",1,6785552,6887787,102236,1,"23261","ENST00000461311.1",16077,"ENSG00000171735","CAMTA1","calmodulin binding transcription activator 1"
"chr1",7109365,7110800,1436,"*","chr1_7109365_7110800",-1.0541877963959,0.0336449215299754,"Intron (ENST00000303635.12/23261, intron 4 of 22)",1,7008376,7014279,5904,2,"127138864","ENST00000456701.1",-95086,"ENSG00000237365","CAMTA1-AS3","CAMTA1 antisense RNA 3"
"chr1",7221688,7222313,626,"*","chr1_7221688_7222313",-1.14858432710081,0.0453598017437627,"Intron (ENST00000303635.12/23261, intron 4 of 22)",1,7312886,7370270,57385,1,"23261","ENST00000849779.1",-90573,"ENSG00000171735","CAMTA1","calmodulin binding transcription activator 1"
"chr1",7295909,7296415,507,"*","chr1_7295909_7296415",-1.94395809500716,0.00176396828099315,"Intron (ENST00000303635.12/23261, intron 5 of 22)",1,7312886,7370270,57385,1,"23261","ENST00000849779.1",-16471,"ENSG00000171735","CAMTA1","calmodulin binding transcription activator 1"
"chr1",7899367,7900163,797,"*","chr1_7899367_7900163",-1.13547684443313,0.0212859258956088,"Intron (ENST00000788099.1/10911, intron 1 of 1)",1,7856311,7913257,56947,2,"10911","ENST00000788099.1",13094,"ENSG00000049247","UTS2","urotensin 2"
"chr1",8059027,8059746,720,"*","chr1_8059027_8059746",1.22978329441245,0.00294930358779757,"Intron (ENST00000445300.2/121832806, intron 2 of 2)",1,8077372,8122019,44648,1,"121832806","ENST00000777668.1",-17626,NA,"ERRFI1-DT","ERRFI1 divergent transcript"
"chr1",8167272,8168457,1186,"*","chr1_8167272_8168457",-2.09988841497366,2.59869480281381e-05,"Promoter (1-2kb)",1,8165834,8215210,49377,1,"102724539","ENST00000777793.1",1438,NA,"LINC01714","long intergenic non-protein coding RNA 1714"
"chr1",8169253,8170706,1454,"*","chr1_8169253_8170706",-1.01484361119301,0.00162855753598286,"Intron (ENST00000777658.1/ENST00000777658.1, intron 2 of 3)",1,8165834,8215210,49377,1,"102724539","ENST00000777793.1",3419,NA,"LINC01714","long intergenic non-protein coding RNA 1714"
"chr1",8194126,8195090,965,"*","chr1_8194126_8195090",-1.26612000919226,0.0103459478886554,"Promoter (2-3kb)",1,8191693,8215210,23518,1,"102724539","ENST00000777800.1",2433,NA,"LINC01714","long intergenic non-protein coding RNA 1714"
"chr1",8218207,8219119,913,"*","chr1_8218207_8219119",-1.11728590750229,0.0110565874618628,"Exon (ENST00000424689.1/ENST00000424689.1, exon 2 of 2)",1,8206698,8211064,4367,1,"102724539","ENST00000777819.1",11509,NA,"LINC01714","long intergenic non-protein coding RNA 1714"
"chr1",8477225,8478993,1769,"*","chr1_8477225_8478993",1.24653364672957,0.00359125895865761,"Intron (ENST00000337907.7/473, intron 11 of 23)",1,8511795,8511919,125,2,"124900452","ENST00000408156.1",32926,"ENSG00000221083","LOC124900452","small nucleolar RNA SNORA77"
"chr1",9233182,9233805,624,"*","chr1_9233182_9233805",-1.02176017016896,0.0114965397021375,"Promoter (<=1kb)",1,9234774,9271337,36564,1,"9563","ENST00000377403.7",-969,"ENSG00000049239","H6PD","hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase"
"chr1",9476670,9477270,601,"*","chr1_9476670_9477270",-1.16082924126604,0.020901640341144,"Distal Intergenic",1,9427231,9455647,28417,2,"100506022","ENST00000775385.1",-21023,"ENSG00000284693","LINC02606","long intergenic non-protein coding RNA 2606"
"chr1",9651352,9652562,1211,"*","chr1_9651352_9652562",-1.14571723231726,0.000425429875790073,"Promoter (<=1kb)",1,9651731,9728906,77176,1,"5293","ENST00000481137.2",0,"ENSG00000171608","PIK3CD","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta"
"chr1",9904527,9905452,926,"*","chr1_9904527_9905452",1.5803560443354,0.00245398126697057,"Intron (ENST00000648956.1/ENST00000648956.1, intron 2 of 2)",1,9848276,9910269,61994,2,"56998","ENST00000377263.6",4817,"ENSG00000178585","CTNNBIP1","catenin beta interacting protein 1"
"chr1",10082596,10083571,976,"*","chr1_10082596_10083571",1.52030190243992,0.000106301773965863,"Intron (ENST00000253251.12/10277, intron 2 of 26)",1,10100861,10103185,2325,1,"10277","ENST00000462658.1",-17290,"ENSG00000130939","UBE4B","ubiquitination factor E4B"
"chr1",10253615,10254259,645,"*","chr1_10253615_10254259",1.63501140784004,3.35132610927148e-07,"Intron (ENST00000377093.9/23095, intron 2 of 20)",1,10232329,10381596,149268,1,"23095","ENST00000622724.3",21286,"ENSG00000054523","KIF1B","kinesin family member 1B"
"chr1",10693844,10695370,1527,"*","chr1_10693844_10695370",-1.01562513868782,0.0124725741273625,"Promoter (<=1kb)",1,10652984,10694479,41496,2,"54897","ENST00000496432.6",0,"ENSG00000130940","CASZ1","castor zinc finger 1"
"chr1",11281279,11282553,1275,"*","chr1_11281279_11282553",2.90746909645912,6.35025517187833e-08,"Intron (ENST00000376810.6/29914, intron 1 of 1)",1,11273934,11296049,22116,1,"29914","ENST00000483738.1",7345,"ENSG00000120942","UBIAD1","UbiA prenyltransferase domain containing 1"
"chr1",11447838,11448819,982,"*","chr1_11447838_11448819",-1.38719876223546,0.0115845467590828,"Intron (ENST00000760480.1/ENST00000760480.1, intron 1 of 1)",1,11479155,11537551,58397,1,"57540","ENST00000294484.7",-30336,"ENSG00000204624","DISP3","dispatched RND transporter family member 3"
"chr1",11729610,11730799,1190,"*","chr1_11729610_11730799",-1.05816261588022,0.0466597555853994,"Intron (ENST00000779472.1/ENST00000779472.1, intron 1 of 2)",1,11736084,11750710,14627,1,"57085","ENST00000376637.7",-5285,"ENSG00000177674","AGTRAP","angiotensin II receptor associated protein"
"chr1",12040411,12040984,574,"*","chr1_12040411_12040984",1.11843949813885,4.76907050028918e-05,"Distal Intergenic",1,12031127,12032039,913,1,"60672","ENST00000478299.1",9284,"ENSG00000116691","MIIP","migration and invasion inhibitory protein"
"chr1",12056394,12056924,531,"*","chr1_12056394_12056924",-1.0767186384622,0.0381268312316871,"Distal Intergenic",1,12063303,12144207,80905,1,"943","ENST00000263932.7",-6379,"ENSG00000120949","TNFRSF8","TNF receptor superfamily member 8"
"chr1",12166696,12167880,1185,"*","chr1_12166696_12167880",-1.05651824490601,0.0283864820583029,"Promoter (<=1kb)",1,12166943,12167038,96,1,"102465836","ENST00000622420.1",0,"ENSG00000283789","MIR7846","microRNA 7846"
"chr1",12414749,12415659,911,"*","chr1_12414749_12415659",-1.13180108543183,0.00279827778168095,"Exon (ENST00000620676.6/55187, exon 64 of 70)",1,12409838,12416827,6990,1,"55187","ENST00000481484.1",4911,"ENSG00000048707","VPS13D","vacuolar protein sorting 13 homolog D"
"chr1",12423745,12425258,1514,"*","chr1_12423745_12425258",1.19825197016013,0.00659074912039454,"Intron (ENST00000620676.6/55187, intron 65 of 69)",1,12409838,12416827,6990,1,"55187","ENST00000481484.1",13907,"ENSG00000048707","VPS13D","vacuolar protein sorting 13 homolog D"
"chr1",12453299,12455380,2082,"*","chr1_12453299_12455380",1.56684678131285,4.09917340293479e-06,"3' UTR",1,12464940,12512047,47108,1,"55187","ENST00000543766.2",-9560,"ENSG00000048707","VPS13D","vacuolar protein sorting 13 homolog D"
"chr1",12460952,12461721,770,"*","chr1_12460952_12461721",3.3288832721026,7.46162557521006e-10,"Intron (ENST00000620676.6/55187, intron 67 of 69)",1,12464940,12512047,47108,1,"55187","ENST00000543766.2",-3219,"ENSG00000048707","VPS13D","vacuolar protein sorting 13 homolog D"
"chr1",12464111,12465081,971,"*","chr1_12464111_12465081",1.75481715660567,4.27658278281409e-08,"Promoter (<=1kb)",1,12464940,12512047,47108,1,"55187","ENST00000543766.2",0,"ENSG00000048707","VPS13D","vacuolar protein sorting 13 homolog D"
"chr1",12572657,12574698,2042,"*","chr1_12572657_12574698",-1.11811695066875,0.00738512872478149,"Exon (ENST00000714541.1/9249, exon 5 of 6)",1,12578957,12579023,67,2,"102466722","ENST00000622213.1",4325,"ENSG00000276830","MIR6730","microRNA 6730"
"chr1",12630318,12631727,1410,"*","chr1_12630318_12631727",-1.74643383875734,0.0483932323025023,"Distal Intergenic",1,12567910,12620133,52224,2,"9249","ENST00000714546.1",-10185,"ENSG00000162496","DHRS3","dehydrogenase/reductase 3"
"chr1",12649953,12650660,708,"*","chr1_12649953_12650660",2.32021550007512,9.25558028101743e-13,"Intron (ENST00000376221.2/343066, intron 1 of 3)",1,12644085,12667076,22992,1,"343066","ENST00000376221.2",5868,"ENSG00000204518","AADACL4","arylacetamide deacetylase like 4"
"chr1",12708908,12710182,1275,"*","chr1_12708908_12710182",-1.15924561986892,0.00348624882870065,"Distal Intergenic",1,12716110,12728760,12651,1,"126767","ENST00000359318.8",-5928,"ENSG00000188984","AADACL3","arylacetamide deacetylase like 3"
"chr1",13723711,13724286,576,"*","chr1_13723711_13724286",-1.09661582021087,0.034294440094462,"Intron (ENST00000311066.10/7799, intron 2 of 9)",1,13731018,13787067,56050,1,"7799","ENST00000491134.5",-6732,"ENSG00000116731","PRDM2","PR/SET domain 2"
"chr1",13784731,13785474,744,"*","chr1_13784731_13785474",1.28412467902357,0.00270358230294883,"Intron (ENST00000311066.10/7799, intron 8 of 9)",1,13771726,13778463,6738,1,"7799","ENST00000487453.1",13005,"ENSG00000116731","PRDM2","PR/SET domain 2"
"chr1",14345887,14346847,961,"*","chr1_14345887_14346847",-1.34273604795633,0.0255916487047497,"Exon (ENST00000666654.1/105376762, exon 6 of 7)",1,14348947,14351324,2378,2,"105376762","ENST00000661309.1",4477,"ENSG00000234593","KAZN-AS1","KAZN antisense RNA 1"
"chr1",14371807,14372978,1172,"*","chr1_14371807_14372978",-1.09994033032704,0.0106608859189261,"Intron (ENST00000636203.1/23254, intron 2 of 16)",1,14348947,14351324,2378,2,"105376762","ENST00000661309.1",-20483,"ENSG00000234593","KAZN-AS1","KAZN antisense RNA 1"
"chr1",14486147,14487144,998,"*","chr1_14486147_14487144",1.46079661591461,0.00109575457020716,"Intron (ENST00000636203.1/23254, intron 2 of 16)",1,14390655,14419973,29319,2,"105376762","ENST00000670776.1",-66174,"ENSG00000234593","KAZN-AS1","KAZN antisense RNA 1"
"chr1",14612201,14612794,594,"*","chr1_14612201_14612794",-2.6934212951721,0.0113265358888,"Intron (ENST00000636203.1/23254, intron 3 of 16)",1,14598717,15065797,467081,1,"23254","ENST00000503743.5",13484,"ENSG00000189337","KAZN","kazrin, periplakin interacting protein"
"chr1",14699426,14701405,1980,"*","chr1_14699426_14701405",-1.20043667358478,0.000245379065025968,"Intron (ENST00000636203.1/23254, intron 3 of 16)",1,14598717,15065797,467081,1,"23254","ENST00000503743.5",100709,"ENSG00000189337","KAZN","kazrin, periplakin interacting protein"
"chr1",14942840,14943409,570,"*","chr1_14942840_14943409",1.18220871934485,0.00303620835218059,"Promoter (2-3kb)",1,14945919,15065797,119879,1,"23254","ENST00000400797.3",-2510,"ENSG00000189337","KAZN","kazrin, periplakin interacting protein"
"chr1",15218277,15219038,762,"*","chr1_15218277_15219038",-1.17193450054803,0.00448201312754232,"Intron (ENST00000428417.5/55092, intron 2 of 2)",1,15236521,15398328,161808,1,"114827","ENST00000683790.1",-17483,"ENSG00000142621","FHAD1","forkhead associated phosphopeptide binding domain 1"
"chr1",15283430,15284014,585,"*","chr1_15283430_15284014",-1.32648742956271,0.00121702311957529,"Intron (ENST00000683790.1/114827, intron 3 of 33)",1,15287045,15289641,2597,1,"114827","ENST00000462113.1",-3031,"ENSG00000142621","FHAD1","forkhead associated phosphopeptide binding domain 1"
"chr1",15352354,15352899,546,"*","chr1_15352354_15352899",-1.43135690829156,0.00501108363344585,"Exon (ENST00000683790.1/114827, exon 20 of 34)",1,15357791,15364317,6527,1,"114827","ENST00000483120.1",-4892,"ENSG00000142621","FHAD1","forkhead associated phosphopeptide binding domain 1"
"chr1",15741280,15741915,636,"*","chr1_15741280_15741915",-1.18120167219661,0.0111273660801418,"Promoter (<=1kb)",1,15742499,15747982,5484,1,"388595","ENST00000375782.2",-584,"ENSG00000162460","TMEM82","transmembrane protein 82"
"chr1",16055597,16056553,957,"*","chr1_16055597_16056553",-1.35192982004899,0.00601776572300037,"Promoter (<=1kb)",1,16056524,16057305,782,1,"1188","ENST00000684650.1",0,"ENSG00000184908","CLCNKB","chloride voltage-gated channel Kb"
"chr1",16534204,16535947,1744,"*","chr1_16534204_16535947",1.05107035393935,0.000251099722459582,"Promoter (<=1kb)",1,16533886,16535649,1764,2,"100132147","ENST00000415386.2",0,"ENSG00000233421","LINC01783","long intergenic non-protein coding RNA 1783"
"chr1",16920927,16922137,1211,"*","chr1_16920927_16922137",-1.61196003459017,9.17471121051978e-05,"Promoter (<=1kb)",1,16921931,16972964,51034,1,"9696","ENST00000375541.10",0,"ENSG00000058453","CROCC","ciliary rootlet coiled-coil, rootletin"
"chr1",16967031,16967706,676,"*","chr1_16967031_16967706",1.08873353157396,0.00668366070844787,"Promoter (1-2kb)",1,16966028,16970742,4715,1,"9696","ENST00000465021.5",1003,"ENSG00000058453","CROCC","ciliary rootlet coiled-coil, rootletin"
"chr1",16978141,16979223,1083,"*","chr1_16978141_16979223",1.1676281660458,0.000905571868260481,"Promoter (<=1kb)",1,16974502,16978276,3775,2,"4237","ENST00000375534.7",0,"ENSG00000117122","MFAP2","microfibril associated protein 2"
"chr1",17587594,17588725,1132,"*","chr1_17587594_17588725",1.07529622794172,0.00202394831348909,"Exon (ENST00000361221.8/55160, exon 3 of 29)",1,17580553,17697649,117097,1,"55160","ENST00000375415.5",7041,"ENSG00000074964","ARHGEF10L","Rho guanine nucleotide exchange factor 10 like"
"chr1",17894192,17894736,545,"*","chr1_17894192_17894736",-1.17590295918325,0.0202950698840431,"Distal Intergenic",1,17822982,17827061,4080,1,"81569","ENST00000617065.1",71210,"ENSG00000117148","ACTL8","actin like 8"
"chr1",18091951,18092762,812,"*","chr1_18091951_18092762",-1.00389624004661,0.0111629665146454,"Distal Intergenic",1,18107798,18378483,270686,1,"84966","ENST00000251296.4",-15036,"ENSG00000117154","IGSF21","immunoglobin superfamily member 21"
"chr1",18148799,18149799,1001,"*","chr1_18148799_18149799",-1.01280321157089,0.0239960057924974,"Intron (ENST00000251296.4/84966, intron 1 of 9)",1,18159971,18176698,16728,2,"105376814","ENST00000718980.1",26899,NA,"IGSF21-AS1","IGSF21 antisense RNA 1"
"chr1",18182363,18183233,871,"*","chr1_18182363_18183233",-1.60851371293358,0.000651193237880513,"Intron (ENST00000251296.4/84966, intron 1 of 9)",1,18166929,18179346,12418,2,"105376814","ENST00000419667.2",-3017,NA,"IGSF21-AS1","IGSF21 antisense RNA 1"
"chr1",18557502,18558287,786,"*","chr1_18557502_18558287",-1.77682498699781,2.93760820884721e-06,"Distal Intergenic",1,18630846,18748866,118021,1,"5081","ENST00000420770.7",-72559,"ENSG00000009709","PAX7","paired box 7"
"chr1",18882430,18882972,543,"*","chr1_18882430_18882972",-2.25836038979742,7.01504891411021e-06,"Promoter (<=1kb)",1,18883202,18883275,74,2,"100616120","ENST00000577305.1",303,"ENSG00000265606","MIR4695","microRNA 4695"
"chr1",19101153,19101833,681,"*","chr1_19101153_19101833",-1.16551675733731,0.0247968318606109,"Promoter (1-2kb)",1,19093361,19100126,6766,2,"23352","ENST00000467272.6",-1027,"ENSG00000127481","UBR4","ubiquitin protein ligase E3 component n-recognin 4"
"chr1",19163163,19163745,583,"*","chr1_19163163_19163745",1.38676596788037,0.000930855555346172,"Intron (ENST00000375254.8/23352, intron 34 of 105)",1,19121213,19168055,46843,2,"23352","ENST00000417040.1",4310,"ENSG00000127481","UBR4","ubiquitin protein ligase E3 component n-recognin 4"
"chr1",19226748,19227336,589,"*","chr1_19226748_19227336",-2.22352299362476,0.000142213402546302,"Promoter (<=1kb)",1,19221869,19227945,6077,2,"23065","ENST00000692400.1",609,"ENSG00000127463","EMC1","ER membrane protein complex subunit 1"
"chr1",19361635,19362355,721,"*","chr1_19361635_19362355",1.45363083092875,0.00617697945920447,"Intron (ENST00000264202.8/832, intron 4 of 8)",1,19339137,19346362,7226,2,"832","ENST00000674299.1",-15273,"ENSG00000077549","CAPZB","capping actin protein of muscle Z-line subunit beta"
"chr1",19423049,19423853,805,"*","chr1_19423049_19423853",-1.6989244882404,0.00139116662915441,"Promoter (2-3kb)",1,19357522,19420144,62623,2,"832","ENST00000489607.5",-2905,"ENSG00000077549","CAPZB","capping actin protein of muscle Z-line subunit beta"
"chr1",19525627,19526646,1020,"*","chr1_19525627_19526646",-1.61865363966686,7.27180969014563e-06,"Intron (ENST00000648702.1/440574, intron 1 of 3)",1,19497010,19564247,67238,2,"105376817","ENST00000816783.1",37601,NA,"LOC105376817","uncharacterized LOC105376817"
"chr1",19750336,19750989,654,"*","chr1_19750336_19750989",-1.20650105435456,0.00113197004236145,"Exon (ENST00000462171.1/255104, exon 4 of 4)",1,19682242,19738419,56178,2,"255104","ENST00000489814.5",-11917,"ENSG00000162542","TMCO4","transmembrane and coiled-coil domains 4"
"chr1",19751825,19752522,698,"*","chr1_19751825_19752522",-2.28401035033323,0.00021326030888279,"Intron (ENST00000375127.5/255104, intron 6 of 15)",1,19682242,19738419,56178,2,"255104","ENST00000489814.5",-13406,"ENSG00000162542","TMCO4","transmembrane and coiled-coil domains 4"
"chr1",20416492,20417247,756,"*","chr1_20416492_20417247",-1.2785889817005,0.00311510542347756,"Intron (ENST00000816624.1/339505, intron 1 of 5)",1,20372704,20410517,37814,2,"339505","ENST00000816648.1",-5975,NA,"LINC01141","long intergenic non-protein coding RNA 1141"
"chr1",20698391,20698942,552,"*","chr1_20698391_20698942",1.0215257263788,0.0105655416341959,"Promoter (<=1kb)",1,20664014,20698439,34426,2,"57576","ENST00000490034.5",0,"ENSG00000117245","KIF17","kinesin family member 17"
"chr1",20792140,20792672,533,"*","chr1_20792140_20792672",1.46674394539778,0.00032855571425968,"Distal Intergenic",1,20776698,20787323,10626,2,"50809","ENST00000437575.5",-4817,"ENSG00000127483","HP1BP3","heterochromatin protein 1 binding protein 3"
"chr1",20884416,20885605,1190,"*","chr1_20884416_20885605",1.16070391469441,0.0165335614709351,"Intron (ENST00000374935.7/8672, intron 15 of 32)",1,20807025,20851268,44244,2,"8672","ENST00000435383.2",-33148,"ENSG00000075151","EIF4G3","eukaryotic translation initiation factor 4 gamma 3"
"chr1",21182176,21182874,699,"*","chr1_21182176_21182874",-1.25315393214958,0.00106559637377815,"Distal Intergenic",1,20806483,21177285,370803,2,"8672","ENST00000686579.1",-4891,"ENSG00000075151","EIF4G3","eukaryotic translation initiation factor 4 gamma 3"
"chr1",21206055,21206576,522,"*","chr1_21206055_21206576",-1.79904605636222,0.000337242412933748,"Distal Intergenic",1,21219814,21222081,2268,2,"1889","ENST00000531334.1",15505,"ENSG00000117298","ECE1","endothelin converting enzyme 1"
"chr1",21621602,21622818,1217,"*","chr1_21621602_21622818",-2.03063383738718,0.000573156889838027,"Promoter (<=1kb)",1,21596221,21622568,26348,2,"5909","ENST00000374761.6",0,"ENSG00000076864","RAP1GAP","RAP1 GTPase activating protein"
"chr1",21764588,21765387,800,"*","chr1_21764588_21765387",-1.12007811400356,0.000947056823705478,"Intron (ENST00000308271.14/84196, intron 1 of 26)",1,21728612,21748191,19580,2,"84196","ENST00000374730.2",-16397,"ENSG00000090686","USP48","ubiquitin specific peptidase 48"
"chr1",22044546,22045805,1260,"*","chr1_22044546_22045805",1.00194091272301,0.00657420950444587,"Intron (ENST00000695855.1/998, intron 1 of 5)",1,22052627,22092923,40297,1,"998","ENST00000400259.5",-6822,"ENSG00000070831","CDC42","cell division cycle 42"
"chr1",22131823,22132964,1142,"*","chr1_22131823_22132964",-1.24719307853379,0.00139841253012458,"Promoter (1-2kb)",1,22127038,22129851,2814,2,"54361","ENST00000415567.1",-1972,"ENSG00000162552","WNT4","Wnt family member 4"
"chr1",22229298,22230023,726,"*","chr1_22229298_22230023",-1.09246415984876,0.00103755890876924,"Exon (ENST00000725703.1/105376850, exon 3 of 4)",1,22252403,22273253,20851,1,"107985377","ENST00000725706.1",-22380,NA,"LOC107985377","uncharacterized LOC107985377"
"chr1",22273633,22274432,800,"*","chr1_22273633_22274432",-1.66744439570331,9.02763289452299e-06,"Distal Intergenic",1,22266239,22266300,62,1,"100616433","ENST00000581169.1",7394,"ENSG00000266564","MIR4418","microRNA 4418"
"chr1",22380224,22380809,586,"*","chr1_22380224_22380809",-1.07201876749094,0.0113112402621975,"Distal Intergenic",1,22416412,22418931,2520,2,"105376856","ENST00000767037.1",38122,"ENSG00000299881","LOC105376856","uncharacterized LOC105376856"
"chr1",22539944,22540812,869,"*","chr1_22539944_22540812",-1.44988916375795,0.00625781366243407,"Distal Intergenic",1,22563489,22603595,40107,1,"2046","ENST00000166244.8",-22677,"ENSG00000070886","EPHA8","EPH receptor A8"
"chr1",22919510,22920805,1296,"*","chr1_22919510_22920805",1.08532441715104,0.0175133438748833,"3' UTR",1,22953043,22972866,19824,2,"646262","ENST00000426928.7",52061,"ENSG00000215906","LACTBL1","lactamase beta like 1"
"chr1",23061403,23061960,558,"*","chr1_23061403_23061960",-1.05845295219245,0.0270361467567806,"Intron (ENST00000688680.1/23028, intron 9 of 14)",1,23065199,23083676,18478,1,"23028","ENST00000689677.1",-3239,"ENSG00000004487","KDM1A","lysine demethylase 1A"
"chr1",23196818,23197359,542,"*","chr1_23196818_23197359",1.03275238321089,1.99165995812125e-06,"Intron (ENST00000374619.2/3352, intron 1 of 1)",1,23084030,23178152,94123,2,"7798","ENST00000713667.1",-18666,"ENSG00000169641","LUZP1","leucine zipper protein 1"
"chr1",24236072,24237243,1172,"*","chr1_24236072_24237243",-1.08504642689872,0.00795826606962391,"5' UTR",1,24202237,24221313,19077,1,"284632","ENST00000805332.1",33835,"ENSG00000230023","LINC02800","long intergenic non-protein coding RNA 2800"
"chr1",24276666,24277886,1221,"*","chr1_24276666_24277886",-1.50988328370459,0.000359116737131123,"Intron (ENST00000690803.1/57822, intron 2 of 15)",1,24318764,24355312,36549,1,"57822","ENST00000692334.1",-40878,"ENSG00000158055","GRHL3","grainyhead like transcription factor 3"
"chr1",24283720,24284497,778,"*","chr1_24283720_24284497",-1.03041944816374,0.00899555508490464,"Intron (ENST00000690803.1/57822, intron 2 of 15)",1,24318764,24355312,36549,1,"57822","ENST00000692334.1",-34267,"ENSG00000158055","GRHL3","grainyhead like transcription factor 3"
